sample_id,sample,pangolin_lineage,nextclade_clade,vadr_p/f,fastqc_raw_reads_1,fastqc_raw_reads_2,fastp_reads_passed,depth_after_trimming,1X_coverage_after_trimming,num_pos_100X,insert_size_after_trimming,ivar_num_variants_identified,bcftools_variants_identified,bedtools_num_failed_amplicons,samtools_num_failed_amplicons,num_N,num_degenerage,num_non-ambiguous,num_total,cleaner_version,aligner_version,trimmer_version,ivar_version,vadr_model,vadr_alerts,nextclade_qc.overallScore,nextclade_qc.overallStatus,pangolin_conflict,pangolin_ambiguity_score,pangolin_scorpio_call,pangolin_scorpio_support,pangolin_scorpio_conflict,pangolin_scorpio_notes,pangolin_version,pangolin_pangolin_version,pangolin_scorpio_version,pangolin_constellation_version,pangolin_is_designated,pangolin_qc_status,pangolin_qc_notes,pangolin_note,freyja_summarized,freyja_lineages,freyja_abundances,freyja_resid,freyja_coverage
V350082740,V350082740_L01_100-100,Unassigned,20C,PASS,18945887,18945887,37830512,23.485,94.0307,604,46.9,1,174,4,71,29293,0,610,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,11530.782565,bad,,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,fail,Ambiguous_content:0.98,,,,,,
V350082740,V350082740_L01_101-101,Unassigned,20C,PASS,16431434,16431434,32828584,19.658,91.2082,467,42.1,1,160,8,74,29434,0,469,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,11643.209273,bad,,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,fail,Ambiguous_content:0.99,,,,,,
V350082740,V350082740_L01_102-102,Unassigned,,PASS,13877848,13877848,27735506,13.5966,84.5768,260,45.9,0,135,8,79,29643,1,259,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,,,,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,fail,failed to map,,,,,,
V350082740,V350082740_L01_103-103,Unassigned,20C,PASS,19998778,19998778,39932020,27.6908,94.5892,795,42.2,1,147,4,69,29070,1,832,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,11355.086420,bad,,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,fail,Ambiguous_content:0.98,,,,,,
V350082740,V350082740_L01_104-104,Unassigned,20C,PASS,17407278,17407278,34761102,25.4179,91.2316,609,41.2,2,140,7,74,29183,0,624,29807,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,11443.452524,bad,,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,fail,Ambiguous_content:0.98,,,,,,
V350082740,V350082740_L01_11-11,C.26,20B,PASS,3874850,3874850,7744670,24574.3,100,29871,198.1,14,27,0,2,443,4,29456,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,16.454119,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: C.26(2/2),,,,,
V350082740,V350082740_L01_12-12,B.1.1,20B,PASS,2543878,2543878,5083332,16002.1,100,29715,201.4,13,25,0,5,520,3,29380,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,9.837534,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1(1/1),,,,,
V350082740,V350082740_L01_13-13,N.4,20B,PASS,3660828,3660828,7315756,22963.8,100,29871,203.2,15,27,0,2,555,3,29344,29902,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,9.891975,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: N.4(1/1),,,,,
V350082740,V350082740_L01_14-14,N.4,20B,PASS,728677,728677,1456544,4575.32,100,29871,203.5,20,33,0,8,68,2,29833,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,8.340278,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: N.4(1/1),,,,,
V350082740,V350082740_L01_15-15,C.11,20D,PASS,3034261,3034261,6064726,19156.5,100,29871,197.9,19,32,0,3,397,3,29503,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,13.469345,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: C.11(1/1),,,,,
V350082740,V350082740_L01_16-16,C.26,20B,PASS,1824731,1824731,3646484,11515.5,99.9498,29871,203.5,17,25,0,7,262,3,29623,29888,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,15.250000,good,0.3333333333333333,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: C.26(2/3) C.33(1/3),,,,,
V350082740,V350082740_L01_17-17,N.4,20B,PASS,3505852,3505852,7007516,21018.7,100,29871,190.7,17,30,0,2,379,3,29521,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,9.780055,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: N.4(2/2),,,,,
V350082740,V350082740_L01_18-18,C.26,20D,PASS,838788,838788,1676048,5307.35,100,29871,193.8,17,28,0,7,90,3,29810,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,10.562500,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: C.26(1/1),,,,,
V350082740,V350082740_L01_19-19,C.26,20B,PASS,2042277,2042277,4080298,12903.8,100,29871,200.3,14,26,0,3,323,5,29575,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,27.785034,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: C.26(2/2),,,,,
V350082740,V350082740_L01_20-20,N.4,20B,FAIL,3681213,3681213,7356638,20816.5,100,29871,189.9,20,33,0,1,263,4,29636,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,20.340278,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: N.4(1/1),,,,,
V350082740,V350082740_L01_21-21,B.1.1,20B,PASS,2837973,2837973,5671656,17883.9,100,29871,204.1,18,28,0,4,309,1,29593,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,2.563611,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1(10/10),,,,,
V350082740,V350082740_L01_22-22,C.26,20B,PASS,4165433,4165433,8328392,26506.2,100,29871,196.1,16,23,0,2,384,4,29515,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,20.437068,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: C.26(1/1),,,,,
V350082740,V350082740_L01_23-23,B.1.1.33,20B,PASS,4229149,4229149,8453334,26696,100,29871,195.3,20,33,0,2,441,5,29457,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,31.522716,mediocre,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.33(1/1),,,,,
V350082740,V350082740_L01_24-24,N.4,20B,PASS,1737232,1737232,3471108,10869.1,100,29871,208.1,23,35,0,9,235,5,29664,29904,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,27.777778,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: N.4(1/1),,,,,
V350082740,V350082740_L01_25-25,P.1,20J (Gamma  V3),PASS,2799140,2799140,5596450,17864.4,100,29862,197.7,24,45,0,2,405,8,29490,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,731.512346,bad,0.5,,Gamma (P.1-like),0.5,0.12,scorpio call: Alt alleles 8; Ref alleles 2; Amb alleles 4; Oth alleles 2,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: P.1(1/2) P.1.15(1/2),,,,,
V350082740,V350082740_L01_26-26,C.37,21G (Lambda),PASS,3887461,3887461,7768746,24420.5,100,29867,196.5,32,45,0,1,452,6,29444,29902,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,192.566927,bad,0.0,,Lambda (C.37-like),0.84,0.05,scorpio call: Alt alleles 16; Ref alleles 1; Amb alleles 2; Oth alleles 0,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: C.37(1/1),,,,,
V350082740,V350082740_L01_27-27,B.1,21C (Epsilon),PASS,3409864,3409864,6815508,21611.4,100,29871,198.7,22,33,0,2,413,2,29488,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,80.737658,mediocre,0.5,,Epsilon (B.1.427-like),0.69,0.15,scorpio call: Alt alleles 9; Ref alleles 2; Amb alleles 2; Oth alleles 0,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1(1/2) B.1.429(1/2); scorpio lineage B.1.427 conflicts with inference lineage B.1,,,,,
V350082740,V350082740_L01_28-28,C.37,21G (Lambda),PASS,3050247,3050247,6096504,19250,100,29855,203.0,29,41,0,5,370,3,29530,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,71.740826,mediocre,0.0,,Lambda (C.37-like),0.89,0.0,scorpio call: Alt alleles 17; Ref alleles 0; Amb alleles 2; Oth alleles 0,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: C.37(2/2),,,,,
V350082740,V350082740_L01_29-29,C.37,21G (Lambda),PASS,5154986,5154986,10304304,32570.7,100,29856,197.2,29,44,0,2,844,6,29053,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,176.170590,bad,0.0,,Lambda (C.37-like),0.79,0.0,scorpio call: Alt alleles 15; Ref alleles 0; Amb alleles 4; Oth alleles 0,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.04,Usher placements: C.37(4/4),,,,,
V350082740,V350082740_L01_30-30,P.1,20J (Gamma  V3),PASS,3903972,3903972,7802656,24571.3,100,29812,198.0,28,46,0,3,461,6,29436,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,580.800014,bad,0.5,,Gamma (P.1-like),0.56,0.06,scorpio call: Alt alleles 9; Ref alleles 1; Amb alleles 4; Oth alleles 2,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: P.1(1/2) P.1.15(1/2),,,,,
V350082740,V350082740_L01_31-31,C.37,21G (Lambda),PASS,1405902,1405902,2809872,8860.41,99.9532,29811,208.1,30,39,0,7,212,4,29687,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,41,mediocre,0.0,,Lambda (C.37-like),0.89,0.0,scorpio call: Alt alleles 17; Ref alleles 0; Amb alleles 2; Oth alleles 0,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: C.37(1/1),,,,,
V350082740,V350082740_L01_32-32,C.37,21G (Lambda),FAIL,4955057,4955057,9903318,31333.2,100,29856,199.8,27,43,0,1,914,6,28981,29901,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,223.983913,bad,0.0,,Lambda (C.37-like),0.79,0.0,scorpio call: Alt alleles 15; Ref alleles 0; Amb alleles 3; Oth alleles 1,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: C.37(4/4),,,,,
V350082740,V350082740_L01_33-33,C.37,21G (Lambda),PASS,2282467,2282467,4562026,14361.7,100,29855,206.0,36,46,0,5,209,3,29691,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,65.250000,mediocre,0.0,,Lambda (C.37-like),0.89,0.0,scorpio call: Alt alleles 17; Ref alleles 0; Amb alleles 2; Oth alleles 0,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: C.37(2/2),,,,,
V350082740,V350082740_L01_34-34,C.37,21G (Lambda),PASS,2591747,2591747,5180412,16346.2,100,29625,200.0,32,46,0,5,533,3,29367,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,48.807205,mediocre,0.0,,Lambda (C.37-like),0.89,0.0,scorpio call: Alt alleles 17; Ref alleles 0; Amb alleles 2; Oth alleles 0,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: C.37(2/2),,,,,
V350082740,V350082740_L01_35-35,C.37,21G (Lambda),PASS,1663747,1663747,3324504,10364.3,99.9565,29855,216.5,31,46,0,9,216,8,29679,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,140.562500,bad,0.0,,Lambda (C.37-like),0.89,0.0,scorpio call: Alt alleles 17; Ref alleles 0; Amb alleles 2; Oth alleles 0,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: C.37(1/1),,,,,
V350082740,V350082740_L01_36-36,B.1.1.7,20I (Alpha  V1),PASS,2749425,2749425,5494980,17297.6,100,29861,195.1,38,50,0,3,284,6,29603,29893,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,162.562500,bad,0.0,,Alpha (B.1.1.7-like),0.74,0.09,scorpio call: Alt alleles 17; Ref alleles 2; Amb alleles 3; Oth alleles 1,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.7(4/4),,,,,
V350082740,V350082740_L01_37-37,B.1.1.348,20B,PASS,3258071,3258071,6510786,20545.4,100,29871,196.9,21,37,0,3,418,7,29478,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,60.302112,mediocre,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.348(2/2),,,,,
V350082740,V350082740_L01_38-38,C.37,21G (Lambda),PASS,1436306,1436306,2868516,8980.23,100,29854,204.5,34,41,0,7,160,4,29739,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,60.444444,mediocre,0.0,,Lambda (C.37-like),0.89,0.0,scorpio call: Alt alleles 17; Ref alleles 0; Amb alleles 2; Oth alleles 0,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: C.37(1/1),,,,,
V350082740,V350082740_L01_39-39,C.37,21G (Lambda),PASS,1472826,1472826,2942992,9175.54,99.9532,29855,213.3,35,46,0,9,158,3,29742,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,59.173611,mediocre,0.0,,Lambda (C.37-like),0.89,0.0,scorpio call: Alt alleles 17; Ref alleles 0; Amb alleles 2; Oth alleles 0,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: C.37(1/1),,,,,
V350082740,V350082740_L01_40-40,P.1,20J (Gamma  V3),PASS,489176,489176,977356,3082.81,99.8896,29783,209.4,29,45,0,9,98,4,29773,29875,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,92.562500,mediocre,0.0,,Gamma (P.1-like),0.69,0.06,scorpio call: Alt alleles 11; Ref alleles 1; Amb alleles 3; Oth alleles 1,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: P.1(4/4),,,,,
V350082740,V350082740_L01_41-41,C.37,21G (Lambda),PASS,1328615,1328615,2654486,8313.15,99.9197,29854,216.6,31,43,0,9,183,4,29705,29892,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,85.444444,mediocre,0.0,,Lambda (C.37-like),0.84,0.0,scorpio call: Alt alleles 16; Ref alleles 0; Amb alleles 3; Oth alleles 0,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: C.37(2/2),,,,,
V350082740,V350082740_L01_42-42,C.37,21G (Lambda),PASS,1829785,1829785,3656780,11491.5,99.9365,29855,221.6,31,42,0,9,223,3,29663,29889,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,43.027778,mediocre,0.0,,Lambda (C.37-like),0.89,0.0,scorpio call: Alt alleles 17; Ref alleles 0; Amb alleles 2; Oth alleles 0,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: C.37(1/1),,,,,
V350082740,V350082740_L01_43-43,P.1.15,20J (Gamma  V3),PASS,1554732,1554732,3105376,9636.04,100,29806,221.1,31,52,0,8,226,6,29671,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,236.694444,bad,0.0,,Gamma (P.1-like),0.62,0.12,scorpio call: Alt alleles 10; Ref alleles 2; Amb alleles 2; Oth alleles 2,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: P.1.15(1/1),,,,,
V350082740,V350082740_L01_44-44,P.1,20J (Gamma  V3),PASS,2163202,2163202,4322244,13493.7,99.9766,29794,209.7,27,46,0,6,388,6,29491,29885,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,236.800672,bad,0.2,,Gamma (P.1-like),0.56,0.06,scorpio call: Alt alleles 9; Ref alleles 1; Amb alleles 4; Oth alleles 2,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: P.1(4/5) P.1.7(1/5),,,,,
V350082740,V350082740_L01_45-45,P.1,20J (Gamma  V3),PASS,1349029,1349029,2694370,8443.99,100,29806,210.1,32,45,0,7,234,1,29672,29907,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,127.562500,bad,0.0,,Gamma (P.1-like),0.69,0.19,scorpio call: Alt alleles 11; Ref alleles 3; Amb alleles 1; Oth alleles 1,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: P.1(2/2),,,,,
V350082740,V350082740_L01_46-46,C.37,21G (Lambda),PASS,1043134,1043134,2084324,6524.77,99.9532,29854,214.4,33,44,0,9,162,5,29736,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,64.062500,mediocre,0.0,,Lambda (C.37-like),0.89,0.0,scorpio call: Alt alleles 17; Ref alleles 0; Amb alleles 2; Oth alleles 0,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: C.37(2/2),,,,,
V350082740,V350082740_L01_47-47,C.37,21G (Lambda),PASS,502029,502029,1003398,3139.71,99.9532,29718,218.2,38,51,0,9,181,4,29697,29882,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,85.444444,mediocre,0.0,,Lambda (C.37-like),0.89,0.0,scorpio call: Alt alleles 17; Ref alleles 0; Amb alleles 1; Oth alleles 1,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: C.37(1/1),,,,,
V350082740,V350082740_L01_48-48,P.1,20J (Gamma  V3),PASS,1123317,1123317,2244122,7035.16,99.9699,29774,209.7,30,43,0,9,235,5,29649,29889,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,171.006944,bad,0.2,,Gamma (P.1-like),0.62,0.0,scorpio call: Alt alleles 10; Ref alleles 0; Amb alleles 4; Oth alleles 2,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: P.1(4/5) P.1.7(1/5),,,,,
