gene_name n_syn n_mis wmis_cv qmis_cv var
ORF1ab:nsp2 17 0 0 5,985952474437303e-13 Lambda
ORF1ab:nsp3 18 8 0,09334788721519671 0 Lambda
ORF1ab:nsp4 0 0 0 1,0789702464819584e-10 Lambda
ORF1ab:nsp6 1 15 1,3421650883595404 0,3150694273249549 Lambda
ORF1ab:nsp7 2 0 0 0,005585370298054615 Lambda
ORF1ab:nsp8 0 2 0,20007341109915525 0,004151164353789066 Lambda
ORF1ab:nsp9 0 0 0 0,004803601450541801 Lambda
ORF3a 0 33 2,555309025749409 0,0017845189804872497 Lambda
ORF6 0 0 0 0,034667861353071226 Lambda
ORF7a 0 13 2,021513997909642 0,06444231606066567 Lambda
ORF8 15 15 0,3979054488975467 0,021208149759939756 Lambda
S 16 118 2,229703681514803 1,2124188988419753e-5 Lambda
E 0 0 0 4,17388278813367e-5 Omicron
M 0 0 0 3,869920257264832e-12 Omicron
N 33 64 0,8764929107334096 0,5906152923630942 Omicron
ORF10 0 28 6,604843564295998 6,987876292254634e-6 Omicron
ORF1ab:2'-O-ribose-methyltransferase 19 23 0,47843818448330516 0,025873046069367786 Omicron
ORF1ab:3'-to-5'-exonuclease 4 56 0,9373211523634131 0,6503809950902815 Omicron
ORF1ab:3C-like-proteinase 4 19 0,5606876928208047 0,008220382123838403 Omicron
ORF1ab:RNA-dependent-RNA-polymerase 55 0 0 0 Omicron
ORF1ab:endoRNAse 25 3 0,048788884353070515 2,531308496145357e-13 Omicron
ORF1ab:helicase 41 30 0,25376224714015677 2,9291846725953974e-9 Omicron
ORF1ab:leader-protein 1 27 1,2294028601656675 0,3403697744665641 Omicron
ORF1ab:nsp10 1 3 0,20902605461004956 4,7072074199826035e-4 Omicron
ORF1ab:nsp11 0 0 0 0,15270027451773494 Omicron
ORF1ab:nsp2 29 0 0 0 Omicron
ORF1ab:nsp3 54 29 0,1396144184497766 0 Omicron
ORF1ab:nsp4 1 4 0,0729693595646498 0 Omicron
ORF1ab:nsp6 4 28 0,9620622616383074 0,8368045889938709 Omicron
ORF1ab:nsp7 0 0 0 3,970584374670313e-5 Omicron
ORF1ab:nsp8 7 1 0,045997866699836146 7,762878303137672e-9 Omicron
ORF1ab:nsp9 26 0 0 3,418561729991628e-13 Omicron
ORF3a 5 46 1,490863263501337 0,03530999522514546 Omicron
ORF6 24 12 0,20119937147758363 6,954072437892478e-6 Omicron
ORF7a 0 28 1,8605500676563158 0,016553736515427766 Omicron
ORF8 2 27 1,7981139163423645 0,03997122516795168 Omicron
S 54 236 1,6136346474700467 0,001515746434765745 Omicron
E 0 0 0 0,002898260095017015 Other
M 3 0 0 3,417556663591152e-7 Other
N 25 52 1,0006486535142778 0,9978801162793747 Other
ORF10 0 26 8,566735813872661 4,417228822439778e-6 Other
ORF1ab:2'-O-ribose-methyltransferase 22 22 0,4660898605522546 0,016593666329442775 Other
ORF1ab:3'-to-5'-exonuclease 0 51 1,4914185120448666 0,010865725355676474 Other
ORF1ab:3C-like-proteinase 2 26 1,320381822419716 0,20886203778276702 Other
ORF1ab:RNA-dependent-RNA-polymerase 26 6 0,08507930062410335 0 Other
ORF1ab:endoRNAse 0 2 0,09483080524389899 3,417556663591152e-7 Other
ORF1ab:helicase 37 30 0,2816083359042568 1,0902955233094147e-6 Other
ORF1ab:leader-protein 1 0 0 5,275915498132682e-7 Other
ORF1ab:nsp10 0 1 0,11321592311340976 0,0013777759908672235 Other
ORF1ab:nsp11 0 0 0 0,24729844318254368 Other
ORF1ab:nsp2 27 6 0,09545966747863044 2,7528905081434612e-11 Other
ORF1ab:nsp3 46 19 0,15441530471864912 0 Other
ORF1ab:nsp4 3 8 0,2556647919037847 1,803887630935641e-6 Other
ORF1ab:nsp6 1 27 1,6578059542283665 0,03497195569486952 Other
ORF1ab:nsp7 1 0 0 0,001978706425236898 Other
ORF1ab:nsp8 1 3 0,22401629545421567 0,0011344443485223643 Other
ORF1ab:nsp9 1 0 0 7,359262997548115e-4 Other
ORF3a 1 52 2,915570332247043 3,6957494914139055e-5 Other
ORF6 0 1 0,2858107066484998 0,1361535828533995 Other
ORF7a 2 26 3,0566554930439245 0,010865725355676474 Other
ORF8 6 23 1,666304978319857 0,25956494763734994 Other
S 27 194 2,5674523592083696 2,1164808100548882e-8 Other
